Qtime,Qindustry,Qtitle,Qwork_title,Qlanguages,Qfirst_language,Qr_experience,Qr_year,Qtime_to_proficiency,Qr_learning_path,Qreason_to_learn,Qr_use,Qr_length_to_success,Qr_difficulty,Qr_reason_experienced,Qr_how_often_used,Qr_enjoyment,Qr_difficulty_experienced,Qtidyverse_learning,Qtidyverse_today,Qshiny,Qunit_tests,Qlike_best,Qlike_least,Qrecommend,Qused_for,Qmost_difficult_aspect,blank_question,Qnot_live_without,Qcapability_missing,Qtools,Qchange_one_thing,Qyear_born,Qgender,Qcountry,Qethnicity,Qdegree,Qteam_r_users,Qversion_control,Qtools_with_r,Qobstacles_to_starting,Qbiggest_difficulty,Qhow_to_learn_r,learner_type,Qgender_coded
2018-12-06T12:12:24Z,Research,User Experience Research Intern,Researcher,"Excel, Javascript, SAS, SPSS, Tableau",SPSS,Intermediate,2016,Years,On the job,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,4,NA,Usually,Sometimes -- I use or build Shiny applications occasionally,I don't know what unit tests are,"Free and flexible, well documented",getting data in and out of R environment to work elsewhere,10,"Statistical analysis, Data transformation, Visualization, Text processing",NA,NA,ggplot,direct csv edits,NA,NA,1991,man,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",8,Frequently -- I use version control on most of the code that I write,"Microsoft Excel, R Command Line (i.e., the native R terminal interface), RStudio.cloud, SAS, Shinyapps.io, SPSS",NA,Error messages,NA,Early Learner,male
2018-12-06T12:12:46Z,Not Employed,NA,Retired,"Excel, Python, Visual Basic",BBC Basic,Beginner,2012,I don't feel proficient in R yet.,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,I wanted to do statistical analyses,Between once a week and once a month,4,3,Yes,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,feels much better than excel for many tasks,The feeling that I should know more,9,"Data transformation, Visualization, Text processing, Survey analysis",NA,NA,dplyr,NA,NA,Having Datacamp six years ago! Datacamp is doing the job for me now,1948,male,United Kingdom,White,"Bachelor’s degree (e.g. BA, BS)",1,Never -- I don't use version control for my R code,RStudio Desktop (IDE),NA,Language irregularities,NA,Early Learner,male
2018-12-06T12:13:13Z,"Government Services (Federal, State, or Local)",NA,Administration,Python,R,Intermediate,2016,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,Between once a day and once a week,4,4,Yes,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,"Generating automatic reports, I have been saving a lot of time that I spent manually doing reports in the past.","I have a little problem with Shiny, I think it is a great package but I need some pro features and it is really well outside what I can pay.",9,"Data transformation, Modeling, Visualization, Machine learning, Text processing",NA,NA,Dplyr,NA,NA,NA,1984,male,Argentina,Hispanic/Latinx,"Bachelor’s degree (e.g. BA, BS)",2,Never -- I don't use version control for my R code,"Microsoft Excel, Python, RStudio Desktop (IDE)",NA,"Data types, Finding proper packages to use, Language irregularities",NA,Early Learner,male
2018-12-06T12:13:43Z,Sports,Analytics Specialist,Data scientist or analyst,"C/C++, Excel, SAS",R,Expert,2010,Months,On the job,NA,NA,NA,NA,It was part of a course I took,More than once a day,5,3,No,Usually,Sometimes -- I use or build Shiny applications occasionally,I don't know what unit tests are,fast and efficient if data are not too large,Big Data Memory issues & Slow Loops,10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,"tidyverse, I used to live without it but now I don't think I could",NA,NA,NA,1988,male,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",5,Never -- I don't use version control for my R code,"Microsoft Excel, RStudio Desktop (IDE), RStudio Server, Shinyapps.io, Shiny Server",NA,Error messages,NA,Early Learner,male
2018-12-06T12:13:58Z,Research,NA,Data scientist or analyst,"Excel, Python",Excel,Intermediate,2016,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,It was part of a course I took,More than once a day,4,2,No,Usually,Sometimes -- I use or build Shiny applications occasionally,I don't know what unit tests are,NA,NA,8,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Text processing, Survey analysis",NA,NA,NA,NA,NA,NA,1991,female,United States of America,Asian,"Master’s degree (e.g. MA, MS, MEd)",5,Sometimes -- I use version control on critical parts of my work,"Jupyter Notebooks, Python, RStudio.cloud, RStudio Desktop (IDE), Shinyapps.io",NA,"Error messages, Finding proper packages to use, Language syntax, Language irregularities",NA,Early Learner,female
2018-12-06T12:14:06Z,Education,Post-doc,Researcher,"Excel, SPSS",Excel,Intermediate,2012,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,4,3,No,Occasionally,Never -- I don't use Shiny.,I don't know what unit tests are,there are always new packages and tools coming available,"I didn't know about things like the tidyverse when I learned R, which means I have to go back and re-learn things.",10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,"rstan, brms",Unsure,NA,Unsure,1989,male,United States of America,White,"Doctorate (e.g. PhD, EdD)",1,Never -- I don't use version control for my R code,RStudio Desktop (IDE),NA,Data types,NA,Early Learner,male
2018-12-06T12:14:30Z,Research,Postdoc,Researcher,Python,Matlab,Intermediate,2010,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,It was required for my work,More than once a day,5,3,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,The versatility and the R markdown,"that it's hard to change data class sometimes. also, sometimes hard to visualize lists with lists/other data",10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning, Genomics, Medicine, Clinical trials",NA,NA,"tidyverse, ggplot",NA,NA,probably a pop-up in rstudio when first time opening up giving some info on packages etc.,1982,m,United States of America,White,"Doctorate (e.g. PhD, EdD)",0,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","RStudio Desktop (IDE), RStudio Server",NA,"Getting started, Language syntax",NA,Early Learner,male
2018-12-06T12:14:35Z,Education,NA,Researcher,Python,Visual Basic,Intermediate,2016,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,2,Yes,Usually,Sometimes -- I use or build Shiny applications occasionally,I don't know what unit tests are,NA,NA,10,"Statistical analysis, Data transformation, Visualization, Machine learning, Text processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree (e.g. BA, BS)",NA,Frequently -- I use version control on most of the code that I write,"Microsoft Excel, Python, RStudio Desktop (IDE), Shinyapps.io",NA,"Documentation, Language syntax",NA,Early Learner,NA
2018-12-06T12:14:44Z,Research,Research scientist,Researcher,"Excel, Javascript, Python",R,Expert,2012,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,It was required for my work,More than once a day,5,2,No,Usually,Sometimes -- I use or build Shiny applications occasionally,Sometimes -- I write unit tests when I have code that is critical to my project or work,"It's very comfortable now. I feel like I can ""think"" in R and get things done quickly.",NA,10,"Data transformation, Visualization",NA,NA,Data wrangling functions in the tidyverse.,NA,NA,NA,1989,woman,NA,NA,"Master’s degree (e.g. MA, MS, MEd)",NA,Frequently -- I use version control on most of the code that I write,"EMACS ESS mode, Shinyapps.io, Shiny Server Pro",NA,"Error messages, Language irregularities",NA,Early Learner,female
2018-12-06T12:14:46Z,Research,NA,Researcher,"Python, Perl",R,Intermediate,2008,Weeks,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,No,I don't know what tidyverse is,I don't know what Shiny is.,Never -- I don't write unit tests,Open source/free,NA,10,"Statistical analysis, Modeling, Visualization",NA,NA,Ggplot2,NA,NA,NA,1986,female,Germany,White,"Doctorate (e.g. PhD, EdD)",5,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, Python, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,"Error messages, Getting started, Language syntax",NA,Early Learner,female
2018-12-06T12:15:10Z,Education,Graduate Research Assistant,Researcher,"Excel, Python, SPSS, Tableau",SPSS,Intermediate,2016,Months,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,4,3,No,Occasionally,"Rarely -- I know how to use Shiny, but it's not part of my regular work",I don't know what unit tests are,It's free and powerful,"Learning curve for all the packages, loading in data",8,"Statistical analysis, Data transformation, Modeling, Visualization, Survey analysis, Clinical trials",NA,NA,"psych, rio",NA,NA,Easier viewing of datasets to see my changes,1993,female,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",7,Never -- I don't use version control for my R code,"Microsoft Excel, RStudio Desktop (IDE), SPSS",NA,"Data types, Error messages",NA,Early Learner,female
2018-12-06T12:15:19Z,Public Service / Non-profit,Director of Data Analytics,Data scientist or analyst,"Excel, SAS, SPSS, Tableau, Visual Basic, Stata",Visual Basic,Beginner,2017,Months,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,3,Yes,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,"Fast, easy to quickly visualize data, elegant syntax, saves time relative to manual labor of excel","Difficult to integrate with work done in excel, word, ppt by other colleagues who do not use R",10,"Data transformation, Visualization",NA,NA,dplyr,NA,NA,Show how to translate common data manipulation tasks in Excel that are time intensive into R,1986,female,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",2,Sometimes -- I use version control on critical parts of my work,"Jupyter Notebooks, Microsoft Excel, RStudio Desktop (IDE), SPSS",NA,"Language syntax, Language irregularities",NA,Recent Learner,female
2018-12-06T12:15:24Z,Research,NA,Researcher,"Excel, Python, Stata",Stata,Intermediate,2009,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,Between once a week and once a month,5,3,No,Occasionally,Never -- I don't use Shiny.,Never -- I don't write unit tests,NA,NA,10,"Statistical analysis, Data transformation, Visualization",NA,NA,NA,NA,NA,NA,1986,male,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",4,Frequently -- I use version control on most of the code that I write,"EMACS ESS mode, Python, R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE), RStudio Server",NA,"Error messages, Language syntax",NA,Early Learner,male
2018-12-06T12:15:27Z,Health Care and Medicine,NA,Researcher,"Excel, Matlab, Python",C/C++,Intermediate,2017,I don't feel proficient in R yet.,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,"I wanted to use a specific R package (e.g., ggplot2, caret, rmarkdown)",More than once a day,4,3,No,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,NA,NA,8,"Statistical analysis, Data transformation, Visualization",NA,NA,NA,NA,NA,NA,1982,NA,Switzerland,NA,"Master’s degree (e.g. MA, MS, MEd)",NA,Sometimes -- I use version control on critical parts of my work,"Jupyter Notebooks, Matlab, Microsoft Excel, Python, R Command Line (i.e., the native R terminal interface), RStudio Desktop Pro (IDE)",NA,"Language syntax, Language irregularities",NA,Recent Learner,NA
2018-12-06T12:15:28Z,Education,Lecturer,Educator,Excel,Excel,Intermediate,2013,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,5,3,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,The ease of organization and reproducibility,"I teach using #rstats, and sometimes issues with PCs are annoying",10,"Statistical analysis, Data transformation, Modeling, Visualization",NA,NA,tidyverse (esp. dplyr and ggplot2),NA,NA,NA,1983,female,United States of America,White,"Doctorate (e.g. PhD, EdD)",15,Sometimes -- I use version control on critical parts of my work,"Microsoft Excel, RStudio Desktop (IDE)",NA,Getting started,NA,Early Learner,female
2018-12-06T12:15:32Z,Information Technologies,Software Engineer,Software developer,"Go, Java, Javascript",Basic,Intermediate,2007,Years,"trial and error, help manuals, mailing lists, StackOverflow",NA,NA,NA,NA,It was required for my work,Less than once a month,5,4,No,Usually,Sometimes -- I use or build Shiny applications occasionally,Frequently -- I write unit tests for most of the code that I write,NA,NA,10,"Statistical analysis, Visualization, Genomics, Business Intelligence",NA,NA,NA,NA,NA,NA,1987,male,United States of America,"White, Native American","Master’s degree (e.g. MA, MS, MEd)",3,Frequently -- I use version control on most of the code that I write,"RStudio Connect, RStudio Desktop (IDE)",NA,"Language syntax, Language irregularities",NA,Early Learner,male
2018-12-06T12:15:37Z,Not Employed,Student,Student,"Excel, Python, SPSS, Stata",Stata,Expert,2016,Years,R4DS,NA,NA,NA,NA,I wanted to do statistical analyses,More than once a day,4,5,Yes,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,Everything is a vector!,Everything is a vector!,10,"Statistical analysis, Data transformation, Modeling, Visualization, Text processing",NA,NA,dplyr,Python has more comprehensive NLP packages.,NA,Don't know,1990,male,United States of America,Hispanic/Latinx,"Master’s degree (e.g. MA, MS, MEd)",15,Never -- I don't use version control for my R code,"RStudio Desktop (IDE), Shinyapps.io, Stan",NA,"Documentation, Getting started, Language syntax",NA,Early Learner,male
2018-12-06T12:15:46Z,Health Care and Medicine,Grants Analyst,Data scientist or analyst,"Excel, Javascript, PHP, Python, Visual Basic",Excel,Intermediate,2013,Months,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,4,3,Yes,Usually,Sometimes -- I use or build Shiny applications occasionally,Never -- I don't write unit tests,It's much faster and more flexible than Excel,Inconsistent syntax between packages,9,"Statistical analysis, Data transformation, Modeling, Visualization, Text processing, Clinical trials, Financial analysis",NA,NA,dplyr,Deployable apps/executable files for other colleagues who don't use R.,NA,Clearer debugging tools making it easier to test and watch loop/apply/map case by case,1983,male,United States of America,White,"Master’s degree (e.g. MA, MS, MEd)",1,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","Microsoft Excel, Python, RStudio Desktop (IDE)",NA,Error messages,NA,Early Learner,male
2018-12-06T12:15:48Z,Not Employed,NA,Student,"C/C++, Excel, Java, Javascript, Matlab, PHP, Python, Visual Basic",C#,Intermediate,2014,I don't feel proficient in R yet.,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,Less than once a month,4,3,No,Occasionally,Never -- I don't use Shiny.,Never -- I don't write unit tests,"ggplot2, ingenious way of passing parameters","standard library should be more consistent, object system is obscure and badly documented",10,"Data transformation, Visualization",NA,NA,ggplot2,NA,NA,NA,1993,male,Austria,NA,"One or more graduate courses, no graduate degree",3,Frequently -- I use version control on most of the code that I write,"EMACS ESS mode, R Command Line (i.e., the native R terminal interface)",NA,"Data types, Language irregularities",NA,Early Learner,male
2018-12-06T12:15:53Z,Information Technologies,Senior Consultant,Data scientist or analyst,"C/C++, Excel, Java, Javascript, Python",Fortran,Expert,1998,Months,transitioned from using S and S-Plus,NA,NA,NA,NA,I wanted to do statistical analyses,Between once a day and once a week,5,3,No,Usually,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Rarely -- I only write unit tests in situations that require it,flexibility,proliferation of packages that do similar things,10,"Statistical analysis, Visualization, Machine learning",NA,NA,ggplot,Python integration,NA,NA,1958,male,Canada,White,"Doctorate (e.g. PhD, EdD)",3,Sometimes -- I use version control on critical parts of my work,"Microsoft Excel, Python, RStudio Desktop (IDE)",NA,Language irregularities,NA,Early Learner,male
2018-12-06T12:16:36Z,Education,Visiting Assistant Professor,Educator,"C/C++, Excel, Javascript, PHP, Python, SAS, SPSS, Stata",BASIC,Intermediate,2010,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I wanted to do statistical analyses,Less than once a month,3,4,No,Never,Never -- I don't use Shiny.,Rarely -- I only write unit tests in situations that require it,Community,Steep learning curve,8,Statistical analysis,NA,NA,Regex,Fixed-effects panel data,NA,Hard to answer at this point; things have changed already,NA,NA,United States of America,NA,"Doctorate (e.g. PhD, EdD)",0,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","R Command Line (i.e., the native R terminal interface), RStudio Desktop (IDE)",NA,"Language syntax, Language irregularities",NA,Early Learner,NA
2018-12-06T12:16:50Z,Conservation Science/NGO,Urban Spatial Planner,Data scientist or analyst,"Javascript, Python, SQL",R,Expert,2008,Years,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,Between once a week and once a month,4,4,No,Occasionally,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Rarely -- I only write unit tests in situations that require it,Constant Development & strong User Community,Difficult to find best Packages for the Work at Hand (esp. with Redundancies),10,"Statistical analysis, Data transformation, Modeling, Visualization, Machine learning",NA,NA,It's my primary tool for most things except sometimes spatial data,NA,NA,"I didn't learn with Tidyverse, but it would have been useful if it was around when I started",1986,male,United States of America,White,"Doctorate (e.g. PhD, EdD)",3,Frequently -- I use version control on most of the code that I write,"RStudio Desktop (IDE), Notepad++; PostgreSQL",NA,"Error messages, Getting started",NA,Early Learner,male
2018-12-06T12:17:06Z,Education,professor,Educator,"C/C++, Excel, Matlab, SAS, SPSS, Tableau",C/C++,Intermediate,2017,Weeks,By myself using a book or online documentation that was not part of a formal course,NA,NA,NA,NA,I was personally interested,More than once a day,5,2,Yes,Usually,Never -- I don't use Shiny.,Never -- I don't write unit tests,NA,NA,10,"Statistical analysis, Data transformation, Modeling, Visualization, Financial analysis",NA,NA,NA,NA,NA,NA,1968,male,NA,White,"Doctorate (e.g. PhD, EdD)",3,"Rarely -- I know how to use version control on projects that require it, but it's not part of my normal workflow","RStudio Desktop (IDE), RStudio Server",NA,Finding proper packages to use,NA,Recent Learner,male
2018-12-06T12:17:22Z,Research,data analyst,Data scientist or analyst,"Excel, Python, SPSS, Tableau",Python,Beginner,2016,I don't feel proficient in R yet.,"Online course (e.g., Coursera, edX, Datacamp)",NA,NA,NA,NA,"I wanted to use a specific R package (e.g., ggplot2, caret, rmarkdown)",Less than once a month,3,3,No,Never,"Rarely -- I know how to use Shiny, but it's not part of my regular work",Never -- I don't write unit tests,ggplot2 graphic power,writing function is not straightforward,7,"Statistical analysis, Data transformation, Visualization",NA,NA,ggplot2,NA,NA,NA,1980,male,Canada,Asian,"Master’s degree (e.g. MA, MS, MEd)",1,Never -- I don't use version control for my R code,"Jupyter Notebooks, Microsoft Excel, Python, RStudio Desktop (IDE), SPSS",NA,"Language syntax, Language irregularities, Learning the RStudio development environment",NA,Early Learner,male
2018-12-06T12:17:23Z,Information Technologies,NA,Data scientist or analyst,"C/C++, Excel, Java, Javascript, PHP, Python",Excel,Intermediate,2017,Years,In-person course (including bootcamps and workshops as well as more formal courses),NA,NA,NA,NA,It was part of a course I took,More than once a day,5,4,No,Usually,Sometimes -- I use or build Shiny applications occasionally,Never -- I don't write unit tests,Tidyverse makes manipulating data really easy and ggplot2 makes visualization simple.,Error messages often mask the underlying problem rather than reveal it.,10,"Data transformation, Visualization, Survey analysis",NA,NA,Ggplot2,Better SQL integration,NA,Teach most important parts of tidyverse to beginners over base R.,1995,male,United States of America,White,"Bachelor’s degree (e.g. BA, BS)",NA,Frequently -- I use version control on most of the code that I write,RStudio Desktop (IDE),NA,"Error messages, Language syntax",NA,Recent Learner,male
