Input	Output
Economia	Financial Svcs.
education and data science as service	Education
Energia	Mining/Natural Resources
Energía (Petróleo y Gas)	Mining/Natural Resources
Engineering	Engineering
Environmental engineering	Engineering
Environmental Engineering	Engineering
Environmental Engineering - Water Utility	Engineering
Environmental Science	Research
Environmental science and conservation	Research
Experimental psychology	Research
Finance	Fin. Svcs.
Gambling	Arts/Entertainment
Gaming	Arts/Entertainment
Geomática	Prof. Svcs.
Government Contractor	Gov't Svcs.
Government, Environment Sector (Range Resources Management)	Gov't Svcs.
Grocery distribution	Retail/Wholesale Trade
High school	Education
Higher education; education AND research!	Education
Home and Garden	Arts/Entertainment
HR Analytics	Prof. Svcs.
Humanitarian Aid	Non-Profit
I am part-time Research Associate/part-time PhD researcher	Research
I do research and statistical analyses at a progressive communications agency.	Research
I will work in broadcasting company based in Prague	Media
i'm a student	Education
I'm currently a college student	Education
I’m self employed and my clients have been in all of the above sectors.	Prof. Svcs.
insurance	Fin. Svcs.
International cooperation	Gov't Svcs.
international development	Gov't Svcs.
international organisation	Non-Profit
International Organization	Non-Profit
Investigacion cientifica medio ambiental	Research
Investigación de Mercados	Prof. Svcs.
Is a research university education or research?	Research
Legal services	Prof. Svcs.
Library	Education
Management Consulting	Prof. Svcs.
Market Research	Prof. Svcs.
Market Research / Consulting	Prof. Svcs.
marketing	Marketing
Marketing & Advertising	Marketing
marketing and advertising	Marketing
Marketing consulting	Marketing
Marketing/Communications	Marketing
Marketing/Digital Analytics	Marketing
Media and Advertising	Media
Media Sales	Media
Media, Journalism	Media
Media/news	Media
Medios de comunicación	Media
MINERAL PROCESSING (METALLURGY)	Mining/Natural Resources
Mobile App / tech company	Technology
Monitoring and evaluation	Other
Natural science	Research
Non Governmental Organisation	Non-Profit
Non profit	Non-Profit
Non profit (homeless services)	Non-Profit
Non Profit. Labor Union	Non-Profit
Non-governmental organization in agricultural sector	Non-Profit
Non-Profit Health and Social Care	Non-Profit
Non-profit public health research	Non-Profit
Non-Profit/Humanitarian	Non-Profit
Organizaciones sin fines de lucro	Non-Profit
PhD student	Education
Physical geography	Science
Planning	Prof. Svcs.
Political Research	Research
Professional athlete	Arts/Entertainmenet
Public health	Health/Medicine
Public Health	Health/Medicine
Public Service / Non-profit	Health/Medicine
Publishing	Media
Real Estate	Real Estate
Real Estate / Consulting	Real Estate
real estate building	Real Estate
Real Estate Development	Real Estate
Regulation	Gov't Svcs.
Retired	Not Employed
retired from a corporate materials analysis laboratory	Not Employed
Self Employed	Prof. Svcs.
Semiconductors	Manufacturing
Sistemas Eléctricos de Potencia	Technology
Social sciences	Research
sport	Arts/Entertainment
Sport science	Arts/Entertainment
Sport Science and research	Arts/Entertainment
Sports analytics (ice hockey)	Arts/Entertainment
Sports betting	Arts/Entertainment
Sports Industry	Arts/Entertainment
Student in a research methods PhD program	Education
Student in statistics	Education
Studying another master	Education
Technology	Technology
TELCO	Telecom
Telecom	Telecom
Telecommnunications	Telecom
Textile	Manufacturing
Transportation Engineering/Planning	Transportation
Travel / Ecommerce / Marketing	Marketing
Turismo	Arts/Entertainment
Utility	Utility
Veterinary science	Health/Medicine
Waste management	Prof. Svcs.
