Input	Output
moving from beginner skills to intermediate/advanced. it seems like resources exist for beginners or advanced users	moving from beginner skills to intermediate/advanced. it seems like resources exist for beginners or advanced users
Moving from riding the bus to driving the car in R (Garrett)	Moving from riding the bus to driving the car in R (Garrett)
Moving my brain out of Excel-mode	Moving my brain out of Excel-mode
my computer is to old for the newest R-packages	my computer is to old for the newest R-packages
My mindset is mostly based on Excel and Visual Basic. R open my mind to other robust techniques.	My mindset is mostly based on Excel and Visual Basic. R open my mind to other robust techniques.
Naming variables	Naming variables
Navigating how to best learn it	Navigating how to best learn it
ninguno	ninguno
no #rstats twitter	no #rstats twitter
no Stack Overflow	no Stack Overflow
non-standard evaluation	non-standard evaluation
non-standard evaulation is confusing (quo	non-standard evaulation is confusing (quo
none	none
None Apply R is intuitive and well organized	None Apply R is intuitive and well organized
None of the above. However	None of the above. However
None really	None really
Nonstandard evaluation	Nonstandard evaluation
Not always sure how to do what I want for analysis.	Not always sure how to do what I want for analysis.
Not difficult. It is intuitive	Not difficult. It is intuitive
Not having the concept of packages explained upfront. I was confused by overlapping functionality between different packages and the different function calls to used perform the same operation	Not having the concept of packages explained upfront. I was confused by overlapping functionality between different packages and the different function calls to used perform the same operation
Not one dominant reason - a little of everything	Not one dominant reason - a little of everything
Not really anything	Not really anything
not so much info and help online. Mostly a few books. You could fight with simple errors/stuff for days on your own! I think it's much better now	not so much info and help online. Mostly a few books. You could fight with simple errors/stuff for days on your own! I think it's much better now
Not understanding error messages	Not understanding error messages
Nothing	Nothing
Nothing as such	Nothing as such
nothing in particular	nothing in particular
Nothing on the r side	Nothing on the r side
Nothing really. It has it's quirks	Nothing really. It has it's quirks
Nothing was particularly hard	Nothing was particularly hard
Object introspection	Object introspection
Object orientation / classes and associated syntax	Object orientation / classes and associated syntax
Objects	Objects
often leading to abandonment	often leading to abandonment
often requiring trial and error approach	often requiring trial and error approach
Old/some BioConductor packages (lack of documentation)	Old/some BioConductor packages (lack of documentation)
Online content is very helpful	Online content is very helpful
Oop	Oop
others just make me more confused.	others just make me more confused.
Overall learning path	Overall learning path
Package development for ggplot2	Package development for ggplot2
Package documentation insufficient	Package documentation insufficient
plyr	plyr
Poder armar gráficos	Poder armar gráficos
Problemas de compatibilidad de los paquetes al actualizar R	Problemas de compatibilidad de los paquetes al actualizar R
programming	programming
Programming concepts are very different from other languages	Programming concepts are very different from other languages
Programming output results	Programming output results
purrr - help often found in something that involved learning new	purrr - help often found in something that involved learning new
R is a poorly designed language	R is a poorly designed language
R materials don't often have good documentation that actually explains the examples they're giving	R materials don't often have good documentation that actually explains the examples they're giving
Raw to analytical dataset	Raw to analytical dataset
recoding variables incl. missing values	recoding variables incl. missing values
regex / string manipulations	regex / string manipulations
Reshaping data	Reshaping data
rest most of R is amazing.	rest most of R is amazing.
restart on syntax after discovering tidyverse	restart on syntax after discovering tidyverse
resulting in lots of new packages	resulting in lots of new packages
RStudio could include the latest version of GNU-R in the installation itself	RStudio could include the latest version of GNU-R in the installation itself
S3 and S4 objects. The OOP side of R	S3 and S4 objects. The OOP side of R
S4 classes (still don't use them)	S4 classes (still don't use them)
S4 Classes and Methods	S4 Classes and Methods
Shifting from classes to structural programming	Shifting from classes to structural programming
shifting from classic SE and NSE to new paradigms like rlang's NSE variant	shifting from classic SE and NSE to new paradigms like rlang's NSE variant
shiny	shiny
si tuviera compañerxs seguramente me sería más fácil.	si tuviera compañerxs seguramente me sería más fácil.
Sifting through lots of information to figure out how to do the one simple thing I want is do	Sifting through lots of information to figure out how to do the one simple thing I want is do
so finding the right package	so finding the right package
So long ago I've forgotten!	So long ago I've forgotten!
So many options to do the same thing	So many options to do the same thing
So many packages to do the same thing. Staying current with best practices. Harder before tidyverse	So many packages to do the same thing. Staying current with best practices. Harder before tidyverse
So many ways to do stuff. Am I choos/learn-ing the best? hesitation	So many ways to do stuff. Am I choos/learn-ing the best? hesitation
so there were fundamentals like loops	so there were fundamentals like loops
sobre todo los referentes al tema espacial	sobre todo los referentes al tema espacial
Sólo se utilizar scripts que ya están hechos y utilizar algún paquete de R	Sólo se utilizar scripts que ya están hechos y utilizar algún paquete de R
Some documentation is good	Some documentation is good
some inconsistency under similar circumstances too	some inconsistency under similar circumstances too
Soy la única persona en el trabajo que usa R	Soy la única persona en el trabajo que usa R
specific advanced language topics are my next goal.	specific advanced language topics are my next goal.
Specifically: Really understanding what functions are	Specifically: Really understanding what functions are
Speed	Speed
Starting out with base instead of embracing tidyverse	Starting out with base instead of embracing tidyverse
Statistics	Statistics
Statistics training & learning	Statistics training & learning
Still trying to figure out how to avoid for loops for complicated analyses!	Still trying to figure out how to avoid for loops for complicated analyses!
StringsAsFactors=F ... WHY?	StringsAsFactors=F ... WHY?
Struggle with R on JupyterLab	Struggle with R on JupyterLab
Switch from oop & loops too functional	Switch from oop & loops too functional
TeX for knitr)	TeX for knitr)
TFL	TFL
that end up making things difficult for beginners.	that end up making things difficult for beginners.
the  [ ] and so on. Tidyverse has a great syntatx. :)	the  [ ] and so on. Tidyverse has a great syntatx. :)
The apparent insanity of its designers	The apparent insanity of its designers
The change to Vectorised maths and functional programming	The change to Vectorised maths and functional programming
the class systems are rather irregular to me	the class systems are rather irregular to me
The different object oriented systems	The different object oriented systems
The fact that it continually evolves and changes - the top Stackoverflow question may have been superseded by a Hadley Wickham reply 3 years later	The fact that it continually evolves and changes - the top Stackoverflow question may have been superseded by a Hadley Wickham reply 3 years later
The fact that it's nearly python	The fact that it's nearly python
the informatics parts that is not R	the informatics parts that is not R
the language syntax of basic R	the language syntax of basic R
the only other language I knew at the time	the only other language I knew at the time
The scoping rules and the concept of environments	The scoping rules and the concept of environments
The statistics behind R.	The statistics behind R.
The things were changing very fast: sapply	The things were changing very fast: sapply
There are multiple packages and ways to run very similar analysis	There are multiple packages and ways to run very similar analysis
they're permitting the community	they're permitting the community
Thinking in vectorized terms. Also	Thinking in vectorized terms. Also
Thinking like a programmer	Thinking like a programmer
Thinking like a programmer (eg. refactoring).	Thinking like a programmer (eg. refactoring).
Thinking things in matrices and vectors	Thinking things in matrices and vectors
Tidyeval	Tidyeval
tidyeval/programming with dplyr/managing base R vs tidyeval integration	tidyeval/programming with dplyr/managing base R vs tidyeval integration
to avoid using loops	to avoid using loops
To be honest	To be honest
To modificar packages	To modificar packages
Too early to tell	Too early to tell
took many days to figure it out. Also	took many days to figure it out. Also
Transferring knowledge of other data manipulation languages (like SQL) to the workflow (not syntax) of R	Transferring knowledge of other data manipulation languages (like SQL) to the workflow (not syntax) of R
Transitioning from SAS	Transitioning from SAS
Understanding apply family	Understanding apply family
Understanding how it could be exported and why it was smart	Understanding how it could be exported and why it was smart
understanding how to structure and use tidy data	understanding how to structure and use tidy data
Understanding how to use R models in Production environements.	Understanding how to use R models in Production environements.
Understanding relationships between different coding paradigms - e.g. base	Understanding relationships between different coding paradigms - e.g. base
Understanding which packages are best for certain tasks.	Understanding which packages are best for certain tasks.
Unit tests	Unit tests
Using dplyr functions within written function (quosures	Using dplyr functions within written function (quosures
Using the R Studio debugging tools	Using the R Studio debugging tools
Using what makes R unique to its fullest	Using what makes R unique to its fullest
Vector operations instead of loops	Vector operations instead of loops
vectorization	vectorization
Vectors and recycling	Vectors and recycling
We work exclusively with the tidyverse	We work exclusively with the tidyverse
What was documented and taught did not overlap with 80% of what I needed to do and what was hard about it.	What was documented and taught did not overlap with 80% of what I needed to do and what was hard about it.
When just getting started	When just getting started
which means I've never learned base R and so it's sometimes unclear exactly why things work the way they do and I still feel my understanding of the base variables types and structures in the language is lacking	which means I've never learned base R and so it's sometimes unclear exactly why things work the way they do and I still feel my understanding of the base variables types and structures in the language is lacking
with no real progress.	with no real progress.
Wording. Sometimes  you know what you want to do	Wording. Sometimes  you know what you want to do
Working with big data and large raster files	Working with big data and large raster files
working with data	working with data
Working with irregular time series	Working with irregular time series
Writing functions	Writing functions
Writing good functions	Writing good functions
Writing simple functions is easy	Writing simple functions is easy
