Timestamp	X.Cómo.calificarías.tu.nivel.de.experiencia.usando.R.	X.Cuál.es.tu.plan.para.aprender.R.	X.Qué.opción.refleja.mejor.la.razón.principal.por.la.que.aprendiste.R....4	Si.aprendieras.R...para.qué.consideras.que.lo.usarías...marca.todas.las.opciones.que.apliquen.	X.Qué.herramientas.analíticas.usas.hoy.para.las.funciones.para.las.que.podrías.aprender.R...por.favor..marca.todas.las.opciones.que.apliquen.	X.Cuál.crees.que.es.el.mayor.obstáculo.que.debes.superar.para.tratar.de.aprender.R..Las.siguientes.opciones.son.solo.sugerencias..Si.no.enumeramos.tu.obstáculo..elige..Other..y.agrega.tu.obstáculo.como.texto.libre.	X.En.qué.año.comenzaste.a.aprender.R.	X.Cómo.aprendiste.R..Si.usaste.varios.métodos..por.favor..selecciona.el.que.hayas.usado.más.	X.Qué.opción.refleja.mejor.la.razón.principal.por.la.que.aprendiste.R....10	X.Cuál.crees.que.fue.el.mayor.obstáculo.que.tuviste.que.superar.para.aprender.R..Las.siguientes.opciones.son.solo.sugerencias..Si.no.hemos.enumerado.su.obstáculo..elija..Otro..y.agregue.su.obstáculo.en.el.texto.	X.Con.qué.frecuencia.usa.R.hoy..ya.sea.para.proyectos.profesionales.o.personales.	X.Cuál.es.el.sistema.operativo.principal.que.usa.para.su.trabajo.de.R.	X.Para.qué.aplicaciones.usas.R.más.frecuentemente...marca.todas.las.que.correspondan.	Por.favor.califica.cuanto.disfrutas.usar.R.en.una.escala.del.1.al.5..donde.1.es.que.no.lo.disfrutas.para.nada.y.5.es.que.lo.disfrutas.mucho.	X.Qué.tan.probable.es.que.recomiendes.R.a.un.colega..amiga.o.o.un.familiar.	X.Qué.herramientas.utilizas.con.tus.aplicaciones.R...por.favor.marca.todas.las.que.correspondan.	X.Usaste.paquetes.tidyverse.como.ggplot2.o.dplyr.para.aprender.R.	X.Utilizas.paquetes.tidyverse.cuando.usa.R.ahora.	X.Qué.es.lo.que.más.te.gusta.de.usar.R.	X.Qué.es.lo.que.menos.te.gusta.de.usar.R.	Cuando.tienes.problemas.en.R...a.quién.recurres.para.pedir.ayuda.	X.Cómo.descubre.nuevos.paquetes.o.paquetes.que.no.le.son.familiares.	X.Cómo.compartes.los.resultados.que.creas.en.R..Marca.todos.lo.que.correspondan.	Mirando.hacia.el.futuro...cómo.espera.que.cambie.su.uso.de.R.en.2021.	Para.asegurarnos.que.no.seas.un.robot..por.favor.escribe.la.palabra..five...sin.comillas..en.la.siguiente.caja.	X.Utiliza.actualmente.R.Markdown..Elija.la.declaración.que.más.se.ajuste.a.su.uso.	X.Para.qué.aplicaciones.utilizas.R.Markdown..Marque.todo.lo.que.corresponda.	Mirando.hacia.el.futuro...cómo.esperas.que.cambie.su.uso.de.R.Markdown.en.2021.	X.Con.qué.frecuencia.usas.Shiny.actualmente..ya.sea.como.desarrollador.o.como.usuario..Elige.la.opción.que.más.se.acerque.a.tu.uso.	X.Para.qué.usas.Shiny.	Mirando.hacia.el.futuro...cómo.esperas.que.cambie.su.uso.de.Shiny.en.2021.	X.Utilizas.actualmente.Python..Elije.la.declaración.que.más.se.ajuste.a.tu.uso.	X.Para.qué.aplicaciones.usas.Python.más.frecuentemente...marca.todas.las.que.correspondan.	Por.favor.califica.cuanto.disfrutas.usar.Python.en.una.escala.del.1.al.5..donde.1.es.que.no.lo.disfrutas.para.nada.y.5.es.que.lo.disfrutas.mucho.	X.Qué.tan.probable.es.que.recomiendes.Python.a.un.colega..amiga.o.o.un.familiar.	X.Qué.herramientas.usas.con.tus.aplicaciones.Python...marque.todo.lo.que.corresponda.	Mirando.hacia.el.futuro...cómo.esperas.que.cambie.su.uso.de.Python.en.2021.	X.Con.qué.lenguajes.o.herramientas.informáticas.te.sientes.cómodo.programando.hoy.	X.Cuál.fue.el.PRIMER.lenguaje.de.programación.o.herramienta.informática.que.aprendiste.	X.En.qué.año.naciste.	X.Con.qué.género.te.identificas.	Identifico.mi.origen.étnico.como..selecciona.todas.las.opciones.que.correspondan..	X.Cuál.es.el.nivel.educativo.más.alto.que.has.completado..Si.eres.estudiante..utiliza.el.nivel.más.alto.que.ya.hayas.completado.	X.En.qué.país.resides.actualmente.	X.En.qué.industria.trabajas.o.participas.	X.Cuál.es.el.nombre.de.tu.cargo.laboral..si.tienes.alguno..	X.Qué.categoría.describe.mejor.el.trabajo.que.haces.	X.Cuántas.personas.en.su.organización.o.grupo.de.trabajo.siente.que.puede.pedir.ayuda.o.apoyo.cuando.trabaja.con.R.	X.Te.sientes.parte.de.la.comunidad.R.	X.A.cuál.de.los.siguientes.eventos.has.asistido..Marca.todos.lo.que.correspondan..Incluye.todos.los.eventos.a.los.que.asististe.virtualmente.en.2020.	X.Cómo.te.enteraste.de.esta.encuesta.
2020-12-11T09:18:22Z	Intermedio	NA	NA	NA	NA	NA	2018	Maser Online UNED	Fue parte de un curso que tomé	El manejo vectorial de los datos	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización	5	10	Jupyter cuadernos, JupyterHub, Python, RStudio Desktop (IDE), Shinyapps.io	Sí	Generalmente	Facilidad de tratar datos	Bucles	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, community.rstudio.com, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Sitios web de búsqueda general como Google y Yahoo, Vistas de tareas de CRAN	Sitios web públicos como GitHub o Netlify, Shinyapps.io, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	five	Diariamente: al menos una vez al día.	Crear cuadernos R, Crear artículos listos para publicación para enviar, Crear documentos interactivos basados en Shiny	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Tablas de datos interactivas	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Modelado/Aprendizaje automático, Visualización	5	10	Anaconda, Conda, Jupyter cuadernos, RStudio Decktop (IDE)	Espero que aumente	C/C++, Java, Javascript, Python	basic en zx spectrum	1970	hombre	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	Spain / España	Tecnologías de la Información	Business development/Profesor máster	Educador/a	NA	Neutral	NA	LinkedIn
2020-12-11T09:18:52Z	Intermedio	NA	NA	NA	NA	NA	2016	"Curso presencial (incluyendo ""bootcamps"" y talleres de programación, también cursos más formales)"	Queria hacer análisis estadísticos	Aprender la sintaxis de R	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico	4	7	RStudio Server	No sé lo que es el tidyverse	Nunca	NA	NA	Su red personal, como colegas y profesores, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Tu red personal, como colegas y profesores, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	Five	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	Espero que aumente	No uso Python	NA	NA	NA	NA	Espero que aumente	Excel	Estoy empezando a aprender programación	1993	Femenino	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	México	Investigación	NA	Estudiante	2	Neutral	R Reuniones de damas (locales, regionales, nacionales o internacionales)	Twitter
2020-12-11T09:18:54Z	Intermedio	NA	NA	NA	NA	NA	2017	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Tenía un interés personal	Aprender la sintaxis de R	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos	5	10	Microsoft Excel, RStudio Desktop (IDE), Tableau	Sí	Generalmente	La facilidad para hacer limpieza de datos	La curva de aprendizaje es lenta para perfiles no programadores	Sitios web de búsqueda general como Google y Yahoo, Su red personal, como colegas y profesores, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, community.rstudio.com	Sitios web de búsqueda general como Google y Yahoo, community.rstudio.com, Conferencias, reuniones o seminarios., Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email, Otro sitio web interno o portal administrado por mi organización (por ejemplo, Sharepoint)	Espero que aumente	five	Ocasionalmente: menos de una vez al mes.	Crear cuadernos R, Publicar libros en línea y fuera de línea a través de bookdown	Espero que aumente	Nunca, no uso Shiny	NA	Espero que siga igual	No uso Python	NA	NA	NA	NA	Espero que siga igual	Excel, Tableau	R	1987	NA	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	Spain / España	Manufactura	Director of Continuous Improvement & Project Management	Consultoría o Asesoría	2	No en realidad no	NA	Twitter
2020-12-11T09:24:43Z	Intermedio	NA	NA	NA	NA	NA	2016	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Quería crear aplicaciones interactivas (por ejemplo, Shiny aplicaciones, paneles, aplicaciones web)	Comprender los tipos de datos de R	Diariamente: al menos una vez al día.	Microsoft Windows	Visualización	4	7	Python	No	Raramente	Su potencial	Cuando me sale error	Su red personal, como colegas y profesores	Tu red personal, como colegas y profesores	Shinyapps.io	Espero que aumente	Five	No uso R Markdown	NA	Espero que aumente	Diariamente: al menos una vez al día	Aplicaciones de mapeo	Espero que aumente	Semanal: entre una vez al día y una vez a la semana	Análisis estadístico, Visualización, Análisis financiero	5	10	JupyterLab 3.0, Matlab, Microsoft Excel, R, SAS, Shinyapps.io, Tableau	Espero que aumente	Matlab, Python, SAS, SPSS, Tableau	Excel	1983	Masculino	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	México	Servicios Profesionales y de Negocios	Director financiero	Profesional de Finanzas	3	No en realidad no	UseR conferencia, PyCon conferencia	Twitter
2020-12-11T09:25:43Z	Principiante	NA	NA	NA	NA	NA	2006	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Queria hacer análisis estadísticos	Los materiales de R no están en Español	Semanal: entre una vez al día y una vez a la semana	Apple MacOS	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización	5	10	Microsoft Excel, Python, Línea de comandos de R (es decir, la interfaz nativa de la terminal R), RStudio Cloud, RStudio Desktop (IDE)	Sí	De vez en cuando	Tiene un paquete para cada necesidad	Algunas sintaxis	Su red personal, como colegas y profesores, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, community.rstudio.com, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	community.rstudio.com, Listas de correo electrónico como r-help, r-packages o r-pkg-devel, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation, Paquetes R creados para la búsqueda, como el paquete sos, Conferencias, reuniones o seminarios., Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	five	No uso R Markdown	NA	Espero que siga igual	Nunca, no uso Shiny	NA	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Visualización	5	10	R, RStudio Cloud, RStudio Decktop (IDE)	Espero que aumente	Python	Visual Basic	1974	Masculino	Negro/Africano, Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	Perú	Investigación	Docente universitario	Educador/a	15	Sí definitivamente	R Reuniones de damas (locales, regionales, nacionales o internacionales)	Twitter
2020-12-11T09:28:40Z	Experto	NA	NA	NA	NA	NA	2013	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Tenía un interés personal	Encontrar tiempo para empezar	Diariamente: al menos una vez al día.	Microsoft Windows	Limpieza o manipulación de datos, Armado de Dashboards	5	9	RStudio Desktop (IDE), RStudio Server, Shiny Server	Sí	Generalmente	NA	NA	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, community.rstudio.com, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Tu red personal, como colegas y profesores, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Blog personal o sitio web de su propiedad, Sitios web públicos como GitHub o Netlify, Shiny Server administrado en la organización	Espero que aumente	five	Ocasionalmente: menos de una vez al mes.	Crear documentos PDF personalizados usando pagedown, Crear sitios web a través de blogdown, Crear documentos interactivos basados en Shiny	Espero que siga igual	Diariamente: al menos una vez al día	Tablero de instrumentos	Espero que aumente	No uso Python	NA	NA	NA	NA	Espero que siga igual	Excel	Wolfram Mathematica	1988	hombre	Hispano/Latino	Título de escuela secundaria o equivalente	Argentina	Servicios y Actividades Financieros	Gerente de datos y desarrollo de negocios	Gerencia	2	Neutral	NA	Twitter
2020-12-11T09:29:17Z	Intermedio	NA	NA	NA	NA	NA	2017	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Tenía un interés personal	Aprender el entorno de desarrollo RStudio	Semanal: entre una vez al día y una vez a la semana	Linux (cualquier distribución)	Análisis estadístico, Limpieza o manipulación de datos, Visualización	5	10	Python, Línea de comandos de R (es decir, la interfaz nativa de la terminal R), RStudio Desktop (IDE)	Sí	Generalmente	Su comunidad. Es un lenguaje con una pendiente de aprendizaje muy empinada al principio pero luego se vuelve cada vez mas facil aprender cosas nuevas.	NA	Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Sitios web de búsqueda general como Google y Yahoo, Vistas de tareas de CRAN, Tu red personal, como colegas y profesores, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	No me animo aun a compartir	Espero que aumente	five	Semanal: entre una vez al día y una vez a la semana	Crear documentos PDF personalizados usando pagedown, Crear diapositivas de presentación, Crear paneles HTML con flexdashboard	Espero que aumente	Ocasionalmente: menos de una vez al mes.	NA	Espero que aumente	Diariamente: al menos una vez al día.	Análisis estadístico, Limpieza o manipulación de datos, Visualización	4	10	Anaconda, Conda, Jupyter cuadernos, Visual Studio Code	Espero que aumente	C/C++, Excel, Javascript, Julia, Python	C/C++	1995	He/him	Hispano/Latino	Algunos cursos universitarios de grado, sin título	Venezuela	Sin empleo	NA	NA	NA	No estoy segura	NA	Twitter
2020-12-11T09:30:54Z	Principiante	NA	NA	NA	NA	NA	2019	"Curso presencial (incluyendo ""bootcamps"" y talleres de programación, también cursos más formales)"	Fue requerido para mi trabajo	Aprender la sintaxis de R	Diariamente: al menos una vez al día.	Apple MacOS	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización	4	9	Microsoft Excel, RStudio Desktop (IDE)	Sí	Generalmente	NA	NA	Sitios web de búsqueda general como Google y Yahoo, Su red personal, como colegas y profesores, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, community.rstudio.com	Sitios web de búsqueda general como Google y Yahoo	Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	Five	Semanal: entre una vez al día y una vez a la semana	Crear cuadernos R, Crear artículos listos para publicación para enviar, Crear documentos PDF personalizados usando pagedown	Espero que aumente	Ocasionalmente: menos de una vez al mes.	NA	Espero que siga igual	No uso Python	NA	NA	NA	NA	Espero que aumente	NA	R	1989	F	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	United States of America / Estados Unidos de América	Investigación	NA	Estudiante	6	Si algo	NA	Twitter
2020-12-11T09:32:58Z	Experto	NA	NA	NA	NA	NA	2016	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Queria hacer análisis estadísticos	Encontrar tiempo para empezar	Semanal: entre una vez al día y una vez a la semana	Apple MacOS	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Análisis de texto	5	10	RStudio Desktop (IDE), Shinyapps.io	Sí	Generalmente	Versatilidad	Es lento para algunas cosas	Sitios web de búsqueda general como Google y Yahoo, Su red personal, como colegas y profesores, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Vistas de tareas de CRAN, Tu red personal, como colegas y profesores, Conferencias, reuniones o seminarios., Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Sitios web públicos como GitHub o Netlify, Shinyapps.io, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	five	Mensual: entre una vez a la semana y una vez al mes	Crear cuadernos R, Crear documentos PDF personalizados usando pagedown, Crear sitios web a través de blogdown, Publicar libros en línea y fuera de línea a través de bookdown	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Pedagogía	Espero que siga igual	Ocasionalmente: menos de una vez al mes.	Modelado/Aprendizaje automático, Análisis de texto	2	10	Conda, JupyterLab 2.0, JupyterLab 3.0, RStudio Decktop (IDE)	Espero que siga igual	Ninguna	Stata	1990	Masculino	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	United States of America / Estados Unidos de América	Investigación	NA	Estudiante	10	Sí definitivamente	RStudio::conf	Twitter
2020-12-11T09:35:21Z	Intermedio	NA	NA	NA	NA	NA	2018	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Fue parte de un curso que tomé	Comprender la documentación de R	Semanal: entre una vez al día y una vez a la semana	Apple MacOS	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización	5	10	Python, RStudio Desktop (IDE), Shinyapps.io, Shiny Server	Sí	Generalmente	El operador pipe	Para ML no hay uniformidad de comandos como en scikit-learn. Con tidymodels se podría solventar	Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, community.rstudio.com, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation	Sitios web de búsqueda general como Google y Yahoo, community.rstudio.com, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	RPubs.com, Shinyapps.io	Espero que aumente	five	Ocasionalmente: menos de una vez al mes.	Crear documentos PDF personalizados usando pagedown, Crear diapositivas de presentación	Espero que aumente	Semanal: entre una vez al día y una vez a la semana	Tablas de datos interactivas	Espero que aumente	Semanal: entre una vez al día y una vez a la semana	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Análisis de texto, Análisis financiero	4	9	Conda, Jupyter cuadernos, R, RStudio Decktop (IDE)	Espero que aumente	Python	C/C++	1974	Masculino	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	Ecuador	Sin empleo	NA	Científica/o de datos o Analista	NA	Si algo	Encuentro local o regional de R	Twitter
2020-12-11T09:37:40Z	Intermedio	NA	NA	NA	NA	NA	2019	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Pensé que saber R me abriría nuevas oportunidades en mi carrera	Aprender la sintaxis de R	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de texto, Análisis de encuestas	4	9	Microsoft Excel, RStudio Desktop (IDE)	Sí	Generalmente	La velocidad de rdata.table para grandes bases de datos y la cantidad de información y recursos disponibles	Que Rstudio consuma tantos recursos del sistema	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	NA	Espero que aumente	five	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	Espero que aumente	No uso Python	NA	NA	NA	NA	Espero que siga igual	Excel, SPSS	Excel	1987	Hombre	Blanco	Título profesional (por ejemplo, MD, DDS, DVM)	Colombia	Educación	NA	Consultoría o Asesoría	5	Neutral	NA	Twitter
2020-12-11T09:41:39Z	Intermedio	NA	NA	NA	NA	NA	2018	"Curso presencial (incluyendo ""bootcamps"" y talleres de programación, también cursos más formales)"	Queria hacer análisis estadísticos	Aprender la sintaxis de R	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización	4	8	Microsoft Excel, Python, SPSS	Sí	De vez en cuando	Los gráficos	Los bucles	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Tu red personal, como colegas y profesores, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	No suelo compartirlo	Espero que siga igual	five	Ocasionalmente: menos de una vez al mes.	Crear cuadernos R	Espero que siga igual	Nunca, no uso Shiny	NA	Espero que siga igual	Mensual: entre una vez a la semana y una vez al mes	Análisis estadístico, Limpieza o manipulación de datos, Visualización	4	8	Anaconda, Microsoft Excel, RStudio Server	Espero que aumente	Excel, Python, SPSS, Tableau	R	1996	Mujer	Blanco	Maestría (por ejemplo, MA, MS, MEd)	Spain / España	Investigación	Analista de datos	Estadístico/a	0	Neutral	R Reuniones de damas (locales, regionales, nacionales o internacionales), PyCon conferencia	Twitter
2020-12-11T09:43:36Z	Principiante	NA	NA	NA	NA	NA	2018	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Queria hacer análisis estadísticos	Aprender la sintaxis de R	Mensual: entre una vez a la semana y una vez al mes	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización	5	10	RStudio Desktop (IDE)	Sí	Generalmente	NA	NA	Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	five	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	Espero que siga igual	Mensual: entre una vez a la semana y una vez al mes	Análisis estadístico, Limpieza o manipulación de datos, Visualización	4	8	Anaconda	Espero que aumente	Matlab, Python	C/C++	1972	Masculino	Blanco	Doctorado (por ejemplo, PhD, EdD)	Spain / España	Cuidado de la Salud y Medicina	NA	Profesional de Medicina	1	No en realidad no	NA	Twitter
2020-12-11T09:44:22Z	Intermedio	NA	NA	NA	NA	NA	2017	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Pensé que saber R me abriría nuevas oportunidades en mi carrera	Encontrar tiempo para empezar	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Análisis de texto, Análisis de encuestas	5	10	Microsoft Excel, Línea de comandos de R (es decir, la interfaz nativa de la terminal R), RStudio Desktop (IDE), Shinyapps.io	Sí	Generalmente	Su versatilidad	Algunos mensajes de error inespecificos	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, community.rstudio.com, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation	Conferencias, reuniones o seminarios., Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email, Sitios web públicos como GitHub o Netlify, Shinyapps.io, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	five	Semanal: entre una vez al día y una vez a la semana	Crear cuadernos R	Espero que siga igual	Ocasionalmente: menos de una vez al mes.	Tablas de datos interactivas	Espero que siga igual	No uso Python	NA	NA	NA	NA	Espero que siga igual	Ninguna	R	1990	masculino	Blanco	Doctorado (por ejemplo, PhD, EdD)	Netherlands / Países Bajos	Investigación	Investigador Postdoctoral	Investigador/a	5	Neutral	NA	Twitter
2020-12-11T09:51:34Z	Principiante	NA	NA	NA	NA	NA	2019	"Curso presencial (incluyendo ""bootcamps"" y talleres de programación, también cursos más formales)"	Pensé que saber R me abriría nuevas oportunidades en mi carrera	Aprender el entorno de desarrollo RStudio	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización	5	10	Jupyter cuadernos, Línea de comandos de R (es decir, la interfaz nativa de la terminal R)	Sí	Generalmente	Me gusta la diversidad de las cosas que se pueden hacer y que fácilmente se puede aprender y obtener resultados que te motivan a seguir aprendiendolo.	Nada, lo amo.	Sitios web de búsqueda general como Google y Yahoo, Su red personal, como colegas y profesores, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Tu red personal, como colegas y profesores, Conferencias, reuniones o seminarios., Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Aun no comparto porque me siento principiante.	Espero que aumente	five	No uso R Markdown	NA	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Narración narrativa con texto y datos	Espero que aumente	No uso Python	NA	NA	NA	NA	Espero que aumente	Visual Basic	Visual Basic	1991	Mujer	Hispano/Latino	Licenciatura (por ejemplo, BA, BS)	Argentina	Investigación	Estudiante de Doctorado	Estudiante	2	Si algo	Encuentro local o regional de R	Twitter
2020-12-11T09:52:14Z	Principiante	NA	NA	NA	NA	NA	2019	"Curso presencial (incluyendo ""bootcamps"" y talleres de programación, también cursos más formales)"	Queria hacer análisis estadísticos	Los materiales de R no están en Español	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización	5	9	RStudio Desktop (IDE)	Sí	Generalmente	Pipe	NA	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Sitios web de búsqueda general como Google y Yahoo, community.rstudio.com, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation	Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	five	Mensual: entre una vez a la semana y una vez al mes	Crear cuadernos R	Espero que aumente	Nunca, no uso Shiny	NA	Espero que aumente	Mensual: entre una vez a la semana y una vez al mes	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización	5	10	Anaconda, JupyterLab 3.0	Espero que aumente	Python	R	1964	Masculino	Hispano/Latino	Grado universitario asociado (por ejemplo, AA, AS)	Chile	Manufactura	Data Scientist	Científica/o de datos o Analista	2	Neutral	RStudio::conf	Twitter
2020-12-11T09:53:23Z	Principiante	NA	NA	NA	NA	NA	2020	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Queria hacer análisis estadísticos	Hay mucha información y se vuelve difícil saber qué recorrido conviene hacer. La curva de aumento de dificultad es muy pronunciada en todos los cursos.	Ocasionalmente: menos de una vez al mes.	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de encuestas	4	10	NA	Sí	Generalmente	El hecho de que sea open source y su comunidad, y la flexibilidad que aporta para lograr los resultados únicos.	Hay tantas opciones disponibles que se me dificulta mucho saber cómo reforzar mis conocimientos.	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	NA	Espero que aumente	five	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	Espero que aumente	No uso Python	NA	NA	NA	NA	Espero que siga igual	Ninguna	Estoy empezando a aprender programación	1989	mujer	Hispano/Latino	Licenciatura (por ejemplo, BA, BS)	Argentina	Investigación	Becaria doctoral/Docente universitaria	Investigador/a	1	No en realidad no	NA	Twitter
