english_name	english_type	english	spanish_name	spanish_type	spanish
Qrmarkdown_apps	c	What applications do you use R Markdown for? Check all that apply.	Qrmarkdown_apps	c	¿Para qué aplicaciones utilizas R Markdown? Marque todo lo que corresponda.
Qrmarkdown_change	c	"Looking forward, how do you expect your use of R Markdown to change in 2021?"	Qrmarkdown_change	c	"Mirando hacia el futuro, ¿cómo esperas que cambie su uso de R Markdown en 2021?"
Qshiny	c	"How often do you currently use Shiny, either as a developer or a user? Choose the statement that most closely matches your use."	Qshiny	c	"¿Con qué frecuencia usas Shiny actualmente, ya sea como desarrollador o como usuario? Elige la opción que más se acerque a tu uso."
Qshiny_use	c	What do you use Shiny for? (check all that apply)	Qshiny_use	c	¿Para qué usas Shiny?
Qshiny_change	c	"Looking forward, how do you expect your use of Shiny to change in 2021?"	Qshiny_change	c	"Mirando hacia el futuro, ¿cómo esperas que cambie su uso de Shiny en 2021?"
Qpython_use	c	Do you currently use Python? Choose the statement that most closely matches your use.	Qpython_use	c	¿Utilizas actualmente Python? Elije la declaración que más se ajuste a tu uso.
Qpython_apps	c	What applications do you use Python for most? (check all that apply)	Qpython_apps	c	¿Para qué aplicaciones usas Python más frecuentemente? (marca todas las que correspondan)
Qpython_tools	c	What tools do you use with your Python applications? (check all that apply)	Qpython_enjoy	d	"Por favor califica cuanto disfrutas usar Python en una escala del 1 al 5, donde 1 es que no lo disfrutas para nada y 5 es que lo disfrutas mucho."
Qpython_enjoy	d	"Please rate how much you enjoy using Python on a scale of 1 to 5, where 1 is you don't enjoy it at all, and 5 is that you enjoy it a great deal."	Qpython_recommend	d	"¿Qué tan probable es que recomiendes Python a un colega, amiga/o o un familiar?"
Qpython_recommend	d	"How likely are you to recommend Python to a colleague, friend, or family member?"	Qpython_tools	c	¿Qué herramientas usas con tus aplicaciones Python? (marque todo lo que corresponda)
Qpython_change	c	"Looking forward, how do you expect your use of Python to change in 2021?"	Qpython_change	c	"Mirando hacia el futuro, ¿cómo esperas que cambie su uso de Python en 2021?"
Qcoding_languages	c	What computer languages or tools are you comfortable coding with today?	Qcoding_languages	c	¿Con qué lenguajes o herramientas informáticas te sientes cómodo programando hoy?
Qfirst_language	c	What was the FIRST computer language or tool that you learned?	Qfirst_language	c	¿Cuál fue el PRIMER lenguaje de programación o herramienta informática que aprendiste?
Qyear_born	d	What year were you born?	Qyear_born	d	¿En qué año naciste?
Qgender	c	What gender do you identify with?	Qgender	c	¿Con qué género te identificas?
Qethnicity	c	I identify my ethnicity as (select all that apply):	Qethnicity	c	Identifico mi origen étnico como (selecciona todas las opciones que correspondan):
Qdegree	c	"What is the highest degree or level of school you have completed? If currently enrolled, please use the highest degree received."	Qdegree	c	"¿Cuál es el nivel educativo más alto que has completado? Si eres estudiante, utiliza el nivel más alto que ya hayas completado."
Qcountry	c	In what country do you currently reside?	Qcountry	c	¿En qué país resides actualmente?
Qindustry	c	What industry do you work or participate in?	Qindustry	c	¿En qué industria trabajas o participas?
Qtitle	c	"What is your job title, if any?"	Qtitle	c	¿Cuál es el nombre de tu cargo laboral (si tienes alguno)?
Qwork_title	c	Which category best describes the work you do?	Qwork_title	c	¿Qué categoría describe mejor el trabajo que haces?
Qteam_r_users	d	How many people in your organization or work group do you feel that you can ask for help or support when working with R?	Qteam_r_users	c	¿Cuántas personas en su organización o grupo de trabajo siente que puede pedir ayuda o apoyo cuando trabaja con R?
Qr_community	c	Do you feel like you are part of the R Community?	Qr_community	c	¿Te sientes parte de la comunidad R?
Qevents	c	"Which of the following events have you attended, if any? Check all that apply. Include any events you attended virtually in 2020."	Qevents	c	¿A cuál de los siguientes eventos has asistido? Marca todos lo que correspondan. Incluye todos los eventos a los que asististe virtualmente en 2020.
Qhear	c	How did you hear about this survey?	Qhear	c	¿Cómo te enteraste de esta encuesta?
