Qtime	Qr_experience	Qhow_to_learn_r	Qreason_to_learn	Qr_use	Qtools	Qobstacles_to_starting	Qr_year	Qr_learning_path	Qr_reason_experienced	Qmost_difficult_aspect	Qr_how_often_used	Qr_OS	Qused_for	Qr_enjoyment	Qrecommend	Qtools_with_r	Qtidyverse_learning	Qtidyverse_today	Qlike_best	Qlike_least	Qr_problems	Qr_discover_packages	Qr_share	Qr_change	Qrobot_test	Qrmarkdown	Qrmarkdown_apps	Qrmarkdown_change	Qshiny	Qshiny_use	Qshiny_change	Qpython_use	Qpython_apps	Qpython_tools	Qpython)_enjoy	Qpython_recommend	Qpython_change	Qcoding_languages	Qfirst_language	Qyear_born	Qgender	Qethnicity	Qdegree	Qcountry	Qindustry	Qtitle	Qwork_title	Qteam_r_users	Qr_community	Qevents	Qhear
12/11/2020 17:06:31	Intermedio	NA	NA	NA	NA	NA	2016	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Queria hacer análisis estadísticos	Comprender los tipos de datos de R	Diariamente: al menos una vez al día.	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización	5	10	Microsoft Excel, Python, RStudio Desktop (IDE)	Sí	Generalmente	La activa comunidad, crean un gran número de paquetes muy especializados	No tiene tantas opciones (que yo conozca) para modelos matemáticos (estilo ode de Matlab)	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Tu red personal, como colegas y profesores, Conferencias, reuniones o seminarios., Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Email, Sitios web públicos como GitHub o Netlify	Espero que aumente	five	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	Espero que aumente	Semanal: entre una vez al día y una vez a la semana	Modelado/Aprendizaje automático, Visualización	4	8	Anaconda, Matlab, Visual Studio Code	Espero que aumente	Excel, Matlab, Python	Excel	1988	Masculino	Blanco	Doctorado (por ejemplo, PhD, EdD)	Brasil	Investigación	Investigador posdoctoral	Investigador/a	10	No en realidad no	NA	Twitter
12/11/2020 17:15:39	Intermedio	NA	NA	NA	NA	NA	2010	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Fue requerido para mi trabajo	Aprender la sintaxis de R	Diariamente: al menos una vez al día.	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización	5	10	Microsoft Excel, Línea de comandos de R (es decir, la interfaz nativa de la terminal R)	Sí	Generalmente	El aprendizaje continuo y que existe un numero infinito de formas de resolver algo	NA	Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Conferencias, reuniones o seminarios., Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Email, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	five	No uso R Markdown	NA	Espero que aumente	Nunca, no uso Shiny	NA	NA	No uso Python	NA	NA	NA	NA	NA	Ninguna	Visual Basic	1975	femenino	Hispano/Latino	Doctorado (por ejemplo, PhD, EdD)	México	Educación	Profesor-Investigador	Científica/o de datos o Analista	0	Si algo	NA	Email
12/11/2020 17:16:25	Intermedio	NA	NA	NA	NA	NA	2018	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Queria hacer análisis estadísticos	Encontrar paquetes apropiados para usar	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización	4	10	JupyterHub, Microsoft Excel, Python, RStudio Desktop (IDE), Stata	Sí	Generalmente	Versatilidad	Las actualizaciones ocasionalmente invalida código antiguo	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Vistas de tareas de CRAN, Tu red personal, como colegas y profesores, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email	Espero que aumente	five	Diariamente: al menos una vez al día.	Crear cuadernos R, Crear artículos listos para publicación para enviar, Crear paneles HTML con flexdashboard	Espero que aumente	Nunca, no uso Shiny	NA	Espero que siga igual	Mensual: entre una vez a la semana y una vez al mes	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Análisis de texto	5	10	Anaconda, Conda, Jupyter cuadernos, RStudio Decktop (IDE), Visual Studio Code	Espero que aumente	Python	R	1993	Masculino	Hispano/Latino	Grado universitario asociado (por ejemplo, AA, AS)	Ecuador	Servicios Públicos	Analista estadístico	Científica/o de datos o Analista	0	No en realidad no	NA	Twitter
12/11/2020 17:21:05	Intermedio	NA	NA	NA	NA	NA	2014	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Tenía un interés personal	Mensajes de error	Diariamente: al menos una vez al día.	Linux (cualquier distribución)	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Análisis de texto, Medicina, Análisis de encuestas	5	10	Microsoft Excel, Python, RStudio Server, Shiny Server	Sí	Generalmente	NA	NA	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Sitios web de búsqueda general como Google y Yahoo, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Otro sitio web interno o portal administrado por mi organización (por ejemplo, Sharepoint), Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	five	Semanal: entre una vez al día y una vez a la semana	Crear artículos listos para publicación para enviar, Crear documentos PDF personalizados usando pagedown, Crear paneles HTML con flexdashboard, Crear documentos interactivos basados en Shiny	Espero que aumente	Mensual: entre una vez a la semana y una vez al mes	Tablero de instrumentos	Espero que aumente	Semanal: entre una vez al día y una vez a la semana	Modelado/Aprendizaje automático, Análisis de texto	4	9	Anaconda, RStudio Decktop (IDE), RStudio Server	Espero que aumente	Excel, Javascript, Python, SAS	Go	1981	masculino	Blanco	Doctorado (por ejemplo, PhD, EdD)	Argentina	Servicios Gubernamentales (Federales, Provinciales o Municipales)	NA	Gerencia	NA	Si algo	NA	Twitter
12/11/2020 17:21:55	Experto	NA	NA	NA	NA	NA	2014	Proyectos para la universidad, pero no formalmente en ningún curso en particular.	Queria hacer análisis estadísticos	Aprender la sintaxis de R	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Análisis financiero	5	9	Microsoft Excel, Línea de comandos de R (es decir, la interfaz nativa de la terminal R), RStudio Desktop (IDE), RStudio Server	Sí	Generalmente	La comunidad que hay en twitter, y me gusta mucho la visualización de datos que se promueve con tidytuesday en twitter	"""For compatibility with S"""	Sitios web de búsqueda general como Google y Yahoo, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, community.rstudio.com, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Sitios web de búsqueda general como Google y Yahoo, Listas de correo electrónico como r-help, r-packages o r-pkg-devel, Tu red personal, como colegas y profesores, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que disminuya	five	Semanal: entre una vez al día y una vez a la semana	Crear cuadernos R, Crear artículos listos para publicación para enviar, Crear diapositivas de presentación	Espero que disminuya	Nunca, no uso Shiny	NA	Espero que siga igual	Ocasionalmente: menos de una vez al mes.	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Análisis financiero	4	8	Anaconda, Conda, R, Visual Studio Code	Espero que aumente	Excel, Matlab, Python, SAS, SPSS, Visual Basic	Java	1995	Masculino	Hispano/Latino	Uno o más cursos de postgrado, sin título de postgrado	United States of America / Estados Unidos de América	Investigación	Asistente de investigación	Estadístico/a	40	Sí definitivamente	NA	Twitter
12/11/2020 17:22:54	Experto	NA	NA	NA	NA	NA	2012	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Fue parte de un curso que tomé	Poder aplicarlo en el trabajo	Semanal: entre una vez al día y una vez a la semana	Apple MacOS	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización	5	10	RStudio Desktop (IDE)	Sí	Generalmente	Su sintaxis, lo facil que es escribirlo, lo bien documentado que esta y RStudio	Muy difícil ponerlo en producción	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Sitios web de búsqueda general como Google y Yahoo, Conferencias, reuniones o seminarios., Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email	Espero que siga igual	Five	Diariamente: al menos una vez al día.	Crear cuadernos R, Crear artículos listos para publicación para enviar	Espero que siga igual	Nunca, no uso Shiny	NA	Espero que siga igual	Diariamente: al menos una vez al día.	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Análisis de texto, Análisis financiero	4	9	Anaconda, Conda, Jupyter cuadernos, JupyterLab 2.0	Espero que siga igual	Javascript, PHP, Python	C/C++	1985	NA	Hispano/Latino	Grado universitario asociado (por ejemplo, AA, AS)	Argentina	Tecnologías de la Información	Head of Data	Científica/o de datos o Analista	1	Sí definitivamente	NA	Twitter
12/11/2020 17:23:12	Intermedio	NA	NA	NA	NA	NA	2018	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Queria hacer análisis estadísticos	Aprender la sintaxis de R	Semanal: entre una vez al día y una vez a la semana	Apple MacOS	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de encuestas	5	10	RStudio Desktop (IDE)	Sí	Generalmente	Versatilidad y amplitud	Tantos paquetes	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	Five	Ocasionalmente: menos de una vez al mes.	Crear cuadernos R	Espero que aumente	Nunca, no uso Shiny	NA	Espero que siga igual	No uso Python	NA	NA	NA	NA	Espero que siga igual	Ninguna	SPSS	1982	Hombre	Hispano/Latino	Doctorado (por ejemplo, PhD, EdD)	México	Educación	Investigador	Investigador/a	3	Neutral	NA	NA
12/11/2020 17:25:40	Intermedio	NA	NA	NA	NA	NA	2018	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Queria hacer análisis estadísticos	Comprender la documentación de R	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Análisis de encuestas, Reportes de trabajo	5	10	Microsoft Excel, RStudio Desktop (IDE), SPSS	Sí	Generalmente	Los paquetes traen funciones variadas que pueden servir para análisis estadístico y escritura científica.	Hay una limitante para la escritura en idioma español. Por ejemplo, gráficos con el nombre de los análisis en inglés que no pueden ser traducidos; paquetes de escritura como papaja que sólo están enfocadas en inglés o como tesisdown sólo enfocado en escritura de tesis en inglés. Tengo que crear los reportes en word para hacer modificaciones particulares según el idioma y no dentro de R.	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Blog personal o sitio web de su propiedad, Incorporación de resultados en trabajos de investigación enviados a publicaciones, osf.io	Espero que aumente	five	Semanal: entre una vez al día y una vez a la semana	Crear artículos listos para publicación para enviar, Publicar libros en línea y fuera de línea a través de bookdown, Crear diapositivas de presentación	Espero que aumente	Nunca, no uso Shiny	NA	Espero que siga igual	No uso Python	NA	NA	NA	NA	Espero que siga igual	Ninguna	Estoy empezando a aprender programación	1992	Femenino	Hispano/Latino	Doctorado (por ejemplo, PhD, EdD)	Nicaragua	Educación	Docente universitaria	Docente universitaria/investigadora/consultora  independiente	0	Sí definitivamente	NA	Twitter
12/11/2020 17:33:32	Intermedio	NA	NA	NA	NA	NA	2015	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Pensé que saber R me abriría nuevas oportunidades en mi carrera	Aprender la sintaxis de R	Diariamente: al menos una vez al día.	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de texto, Análisis de encuestas	4	10	Python, RStudio Connect, RStudio Desktop (IDE), Shinyapps.io	No	Generalmente	Su versatilidad	Aveces da errores que no comprendo.	Su red personal, como colegas y profesores, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Tu red personal, como colegas y profesores, Conferencias, reuniones o seminarios., Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Blog personal o sitio web de su propiedad, Sitios web públicos como GitHub o Netlify, RPubs.com, Shinyapps.io, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que siga igual	five	Diariamente: al menos una vez al día.	Crear artículos listos para publicación para enviar, Crear sitios web a través de blogdown, Publicar libros en línea y fuera de línea a través de bookdown, Crear paneles HTML con flexdashboard	Espero que siga igual	Mensual: entre una vez a la semana y una vez al mes	Exploración de datos	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Modelado/Aprendizaje automático	2	4	Visual Studio Code	Planeo dejar de usarlo	Julia, Python	R	1984	NA	Prefiero no responder	Maestría (por ejemplo, MA, MS, MEd)	Spain / España	Educación	NA	Estadístico/a	5	Sí definitivamente	UseR conferencia, Encuentro local o regional de R, R Reuniones de damas (locales, regionales, nacionales o internacionales)	Twitter
12/11/2020 17:34:14	Intermedio	NA	NA	NA	NA	NA	2010	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Quería crear aplicaciones interactivas (por ejemplo, Shiny aplicaciones, paneles, aplicaciones web)	Aprender la sintaxis de R	Diariamente: al menos una vez al día.	Microsoft Windows	Análisis de texto	5	10	Microsoft Excel, RStudio Desktop (IDE), Shinyapps.io	Sí	De vez en cuando	Que puede ser usado para múltiples tareas, publicaciones, dashboards, aplicaciones Shiny, análisis de texto. Etc.	Muy variado y poca estandarización	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Blog personal o sitio web de su propiedad, Sitio de RStudio Connect administrado por mi organización, RPubs.com, Shinyapps.io	Espero que aumente	five	Mensual: entre una vez a la semana y una vez al mes	Crear artículos listos para publicación para enviar, Crear documentos PDF personalizados usando pagedown, Publicar libros en línea y fuera de línea a través de bookdown, Crear documentos interactivos basados en Shiny	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Tablero de instrumentos	Espero que aumente	No uso Python	NA	NA	NA	NA	Espero que aumente	Ninguna	Excel	1963	Masculino	Hispano/Latino	Licenciatura (por ejemplo, BA, BS)	México	Investigación	Director	Consultoría o Asesoría	2	Si algo	NA	Twitter
12/11/2020 17:36:43	Principiante	NA	NA	NA	NA	NA	2020	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Quería usar un paquete R específico (por ejemplo, tidyverse, tidymodels, RMarkdown)	Encontrar tiempo para empezar	Diariamente: al menos una vez al día.	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Análisis financiero	5	10	Jupyter cuadernos, Microsoft Excel, RStudio Desktop (IDE), Shinyapps.io	Sí	Generalmente	Enfoque directo para modelación	Falta estandarización en procedimientos	Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Listas de correo electrónico como r-help, r-packages o r-pkg-devel, Sitios web de búsqueda específicos de R como METACRAN o Rdocumentation, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email, Shinyapps.io	Espero que aumente	Five	No uso R Markdown	NA	Espero que aumente	Mensual: entre una vez a la semana y una vez al mes	Exploración de datos	Espero que aumente	No uso Python	NA	NA	NA	NA	Espero que disminuya	Julia	Visual Basic	1968	Masculino	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	Colombia	Educación	Profesor	Investigador/a	4	Sí definitivamente	UseR conferencia, R Finance conferencia	Twitter
12/11/2020 17:37:24	Experto	NA	NA	NA	NA	NA	2018	"Curso presencial (incluyendo ""bootcamps"" y talleres de programación, también cursos más formales)"	Queria hacer análisis estadísticos	Mensajes de error	Diariamente: al menos una vez al día.	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de encuestas	5	10	Python, Línea de comandos de R (es decir, la interfaz nativa de la terminal R), RStudio Desktop (IDE), RStudio Server, Shiny Server, SPSS	Sí	Generalmente	Es un lenguaje de programación. Puedo crear soluciones a la medida	Requiere un cambio de mentalidad el orientarse a resolver los problemas cotidianos usando R	Sitios web de búsqueda general como Google y Yahoo, Su red personal, como colegas y profesores, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Sitios web de búsqueda general como Google y Yahoo, Vistas de tareas de CRAN, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal), Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Blog personal o sitio web de su propiedad, Sitios web públicos como GitHub o Netlify	Espero que aumente	five	Semanal: entre una vez al día y una vez a la semana	Crear cuadernos R, Crear sitios web a través de blogdown, Publicar libros en línea y fuera de línea a través de bookdown, Documentar paquetes usando pkgdown, Crear diapositivas de presentación, Crear paneles HTML con flexdashboard, Crear documentos interactivos basados en Shiny	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Tablas de datos interactivas	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Manipulación de PDF, web scraping, imágenes y video	5	10	Visual Studio Code	Espero que aumente	Excel, Javascript, Python, SPSS	Excel	1993	Masculino	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	Dominican Republic / República Dominicana	Investigación	Consultor económico	Consultoría o Asesoría	0	Sí definitivamente	Encuentro local o regional de R	Twitter
12/11/2020 17:38:48	Intermedio	NA	NA	NA	NA	NA	2012	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Queria hacer análisis estadísticos	Aprender la sintaxis de R	Semanal: entre una vez al día y una vez a la semana	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Medicina	5	10	Microsoft Excel, RStudio Cloud, RStudio Desktop (IDE), SPSS	Sí	Generalmente	NA	NA	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub, Libros, libros de texto o artículos de revistas (JSS, JOSS, R-Journal)	Sitios web de búsqueda general como Google y Yahoo, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email, Otro sitio web interno o portal administrado por mi organización (por ejemplo, Sharepoint), Sitios web públicos como GitHub o Netlify, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que aumente	five	Mensual: entre una vez a la semana y una vez al mes	Crear cuadernos R, Crear paneles HTML con flexdashboard	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Tablero de instrumentos	Espero que siga igual	No uso Python	NA	NA	NA	NA	Espero que siga igual	Ninguna	BASIC	1980	Masculino	Blanco, Hispano/Latino	Doctorado (por ejemplo, PhD, EdD)	Spain / España	Cuidado de la Salud y Medicina	Médico	Profesional de Medicina	0	Si algo	Encuentro local o regional de R	Twitter
12/11/2020 17:48:30	Intermedio	NA	NA	NA	NA	NA	2015	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Tenía un interés personal	Aprender la sintaxis de R	Diariamente: al menos una vez al día.	Linux (cualquier distribución)	Análisis estadístico, Limpieza o manipulación de datos, Modelado/Aprendizaje automático, Visualización, Análisis de texto, Análisis de encuestas	4	8	RStudio Desktop (IDE), Vs code	Sí	Generalmente	Programación funcional	Shiny	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Blog personal o sitio web de su propiedad, Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que siga igual	Five	Diariamente: al menos una vez al día.	Crear artículos listos para publicación para enviar, Crear sitios web a través de blogdown, Publicar libros en línea y fuera de línea a través de bookdown, Crear diapositivas de presentación	Espero que siga igual	Ocasionalmente: menos de una vez al mes.	NA	Espero que disminuya	No uso Python	NA	NA	NA	NA	Espero que siga igual	Ninguna	R	1979	Masculino	Prefiero no responder	Doctorado (por ejemplo, PhD, EdD)	México	Educación	NA	Investigador/a	0	Si algo	NA	Twitter
12/11/2020 17:48:32	Intermedio	NA	NA	NA	NA	NA	2018	"Curso presencial (incluyendo ""bootcamps"" y talleres de programación, también cursos más formales)"	Fue parte de un curso que tomé	Aprender la sintaxis de R	Diariamente: al menos una vez al día.	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de encuestas	5	10	RStudio Cloud, RStudio Desktop (IDE)	Sí	Generalmente	Su facilidad para hacer gráficos	NA	Su red personal, como colegas y profesores, Sitios generales de preguntas y respuestas como Stack Overflow y Quora	Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Otro sitio web interno o portal administrado por mi organización (por ejemplo, Sharepoint), Sitios web públicos como GitHub o Netlify	Espero que siga igual	Five	Semanal: entre una vez al día y una vez a la semana	Crear cuadernos R	Espero que siga igual	Ocasionalmente: menos de una vez al mes.	Tablero de instrumentos	Espero que aumente	Diariamente: al menos una vez al día.	Modelado/Aprendizaje automático	4	9	Anaconda, Jupyter cuadernos	Espero que aumente	Excel, Python	Excel	1990	Femenino	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	Argentina	Cuidado de la Salud y Medicina	Data Scientist	Científica/o de datos o Analista	5	No en realidad no	R Pharma conferencia, PyCon conferencia	Twitter
12/11/2020 17:49:18	Experto	NA	NA	NA	NA	NA	2017	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Queria hacer análisis estadísticos	Encontrar tiempo para empezar	Diariamente: al menos una vez al día.	Microsoft Windows	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de texto, Análisis de encuestas	5	10	Jupyter cuadernos, Microsoft Excel, Python, RStudio Desktop (IDE)	Sí	Generalmente	El código es fácil de usar, y tiene librerías para todo	"Algunas librerías generan objetos poco transparentes o explorables por uno mismo, y son difíciles de entender solo a partir de la documentación

También lo relativo a los markdowns o sitios web, la sintaxis es bastante fea"	Sitios web de búsqueda general como Google y Yahoo, Sitios generales de preguntas y respuestas como Stack Overflow y Quora, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Sitios web de búsqueda general como Google y Yahoo, Conferencias, reuniones o seminarios., Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Blog personal o sitio web de su propiedad, Sitios web públicos como GitHub o Netlify	Espero que siga igual	five	Semanal: entre una vez al día y una vez a la semana	Crear diapositivas de presentación	Espero que siga igual	Nunca, no uso Shiny	NA	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Análisis estadístico, Modelado/Aprendizaje automático, Análisis de texto	4	8	Anaconda, Jupyter cuadernos, R	Espero que aumente	Excel, Python, SPSS, Tableau	Java	1991	hombre	Hispano/Latino	Licenciatura (por ejemplo, BA, BS)	Chile	Educación	NA	Consultoría o Asesoría	0	Neutral	NA	Twitter
12/11/2020 17:50:38	Experto	NA	NA	NA	NA	NA	2018	"Curso presencial (incluyendo ""bootcamps"" y talleres de programación, también cursos más formales)"	Queria hacer análisis estadísticos	NA	Diariamente: al menos una vez al día.	Linux (cualquier distribución)	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Ensayos clínicos, Análisis de encuestas	4	10	EMACS ESS mode	No	Raramente	NA	NA	NA	Tu red personal, como colegas y profesores	Incorporación de resultados en trabajos de investigación enviados a publicaciones	Espero que disminuya	five	No uso R Markdown	NA	Espero que siga igual	Nunca, no uso Shiny	NA	Espero que aumente	No uso Python	NA	NA	NA	NA	Espero que siga igual	Javascript, Julia, Haskell, Lisp	Javascript	1997	Masculino	Blanco, Hispano/Latino	Licenciatura (por ejemplo, BA, BS)	NA	Investigación	NA	Estudiante	10	No en realidad no	NA	Twitter
12/11/2020 17:51:15	Intermedio	NA	NA	NA	NA	NA	2002	Utilizando un libro o documentación en línea que no formaba parte de un curso formal	Queria hacer análisis estadísticos	Comprender los tipos de datos de R	Diariamente: al menos una vez al día.	Linux (cualquier distribución)	Análisis estadístico, Genómica	4	10	Python, Línea de comandos de R (es decir, la interfaz nativa de la terminal R), RStudio Cloud, RStudio Desktop (IDE), Shiny Server	Sí	Generalmente	Pretty graphs	Formating	Sitios web de búsqueda general como Google y Yahoo, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Sitios web de búsqueda general como Google y Yahoo, Tu red personal, como colegas y profesores, Redes sociales como blogs, R-bloggers, Twitter, Slack o contactos de GitHub	Email, Blog personal o sitio web de su propiedad, RPubs.com	Espero que aumente	"""five"""	Mensual: entre una vez a la semana y una vez al mes	Crear cuadernos R, Crear paneles HTML con flexdashboard	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Exploración de datos	Espero que aumente	Ocasionalmente: menos de una vez al mes.	Genómica	2	8	Anaconda, Conda, R	Espero que siga igual	Python, Perl	R	1982	Male	Blanco	Doctorado (por ejemplo, PhD, EdD)	United States of America / Estados Unidos de América	Educación	NA	Investigador/a	1	Sí definitivamente	NA	Twitter
12/11/2020 17:52:00	Intermedio	NA	NA	NA	NA	NA	2017	Curso en línea (por ejemplo, Coursera, edX, Datacamp)	Tenía un interés personal	Mensajes de error	Diariamente: al menos una vez al día.	Apple MacOS	Análisis estadístico, Limpieza o manipulación de datos, Visualización, Análisis de texto	5	10	Jupyter cuadernos, Microsoft Excel, RStudio Cloud, RStudio Server, Shinyapps.io, Shiny Server, Shiny Server Pro	Sí	Generalmente	Es facil de instalar y de echar a andar	Que, comparado con Python y con Julia, es más lento y menos versátil	Sitios web de búsqueda general como Google y Yahoo	Sitios web de búsqueda general como Google y Yahoo	Blog personal o sitio web de su propiedad, Sitios web públicos como GitHub o Netlify, RPubs.com, Shinyapps.io	Espero que aumente	five	Semanal: entre una vez al día y una vez a la semana	Crear cuadernos R, Crear artículos listos para publicación para enviar, Crear documentos PDF personalizados usando pagedown, Crear sitios web a través de blogdown, Crear diapositivas de presentación, Crear documentos interactivos basados en Shiny	Espero que aumente	Semanal: entre una vez al día y una vez a la semana	Tablas de datos interactivas	Espero que aumente	No uso Python	NA	NA	NA	NA	Espero que aumente	Excel	Java	1991	Hombre	Hispano/Latino	Maestría (por ejemplo, MA, MS, MEd)	México	Educación	Investigador asociado	Científica/o de datos o Analista	1	Sí definitivamente	Encuentro local o regional de R	Twitter
