Input	Output
Sistemas de Información Geografica	Spatial analysis
social media analytics and reporting	Social analysis
Social network analysis	Social analysis
Social network analysis (Rsiena)	Social analysis
Spatial	Spatial analysis
Spatial Analysis	Spatial analysis
Spatial Analysis and Mapping	Spatial analysis
Spatial data analysis	Spatial analysis
Spatial data mapping	Spatial analysis
Spatial Data Processing	Spatial analysis
Spatial Modelling	Spatial analysis
Spatial/Mapping	Spatial analysis
Spatyal Analysys	Spatial analysis
Sports analysis	Sports analysis
Still learning	Education
Still learning not using it professionally	Education
stochastic processes)	Statistical analysis
Stochastic simulations	Statistical analysis
survey implementation	Survey analysis
Survival analysis	Statistical analysis
Survival models	Statistical analysis
sweave	Document publishing
teaching (stats theory)	Education
Teaching and Markdown	Education
teaching and writing	Education
Teaching biostatistics and data science	Education
Time series	Statistical analysis
Time Series Analysis	Statistical analysis
Todavía nada	Social analysis
Toxicology	Medical applications
training	Education
transcriptomics	Document publishing
varios	Other
Visualisation	Visualization
Wastewater process engineering	Environmental analysis
Water engineering (hydroinformatics)	Environmental analysis
Web Applications/Dashboards using Shiny	Web applications
Web apps	Web applications
Web Apps	Web applications
Web Development	Web applications
Web scraping	Web applications
Web Scraping	Web applications
Web services	Web applications
web shiny apps	Shiny
Webapp building (shiny)	Shiny
Website creation	Web applications
Website/blog creation	Web applications
Word processing with latex	Document publishing
Word processing with modest coding needs	Document publishing
Writing	Document publishing
Writing (bookdown)	Document publishing
Writing (Rmarkdown)	Document publishing
Writing documents	Document publishing
writing down markdown files	Document publishing
Writing manuscripts	Document publishing
Writing papers and making presentations	Document publishing
writing reports and making websites (Rmarkdown)	Document publishing
Writing research articles/reports	Document publishing
Writing simple programs	Software development
Writing with rmarkdown: creating course materials	Document publishing
writing/updating shiny applications	Shiny
